genes	geneNames	C20_1	C20_2	C20_3	G20_1	G20_2	G20_3	GA20_1	GA20_2	GA20_3	L20_1	L20_2	L20_3	L20_4	L20_5	L20_6	L20_7	L20_8	X20_1	X20_2	X20_3
CIC11T00000001162	 SPS19	6.465946734	6.256982945	5.883634942	3.105908075	3.415682461	3.072299412	7.61259247	7.223022099	7.397207301	6.618571438	6.724169956	6.694699122	6.749489602	5.912437942	6.189868778	6.696506202	6.738757173	3.931347495	4.674526035	4.056998054
CIC11T00000003504	 pi041	7.643839104	7.518270085	7.649009668	7.618982286	7.459783345	7.610729763	7.505464531	7.418999685	7.516345272	7.544866618	8.083126346	8.098348093	8.224164602	7.390946839	8.082755797	7.909156435	7.9812349	7.080934883	7.694114799	7.527086552
CIC11T00000005610	 YPS1_7	9.077404294	8.97150989	8.573940535	10.30391822	9.194696859	10.69712801	8.648434865	8.764258163	8.725327743	9.752624806	9.241770407	9.358972047	9.791656305	10.21447108	9.706062642	9.576265122	9.563164605	10.3524808	9.015260183	9.615522545
CIC11T00000000205	 YPS1	2.290816259	2.11440709	3.110902668	1.230132796	-0.08843474	1.655923811	2.439771667	2.812502557	2.70064097	3.036399519	2.992108526	2.90949941	2.605870824	2.900559035	3.01048679	3.110270171	3.164426091	0.773566157	0.276272649	0.449185781
CIC11T00000001844	 YPS1_4	8.536939452	8.668782656	9.056269295	8.049264634	7.798991892	8.201339921	9.090840681	9.058995789	9.101628068	9.255297359	8.773566199	8.791648128	8.828803544	9.288251982	8.905417205	8.749455788	8.927482397	8.128072941	7.523846234	7.833711853
CIC11T00000005044	 NIK1	9.632923926	9.646762062	9.724595417	8.133700172	8.75771788	8.285634798	9.756784195	9.934289425	9.759804816	9.407342359	8.979948143	8.939989665	8.995525177	9.40241141	9.083820402	9.097884038	9.147025233	8.854046458	8.539364115	8.771291704
CIC11T00000002857	 POL3	8.04119782	8.261544624	8.885866987	7.59089671	8.279121931	8.07205347	8.248054429	8.539157179	8.28028062	8.321981253	7.441613245	7.496170437	7.740985678	8.163351875	7.479781891	7.718149236	7.654305676	8.209840289	7.977435765	8.245271793
CIC11T00000004383	 UGA4_3	7.033461469	7.056632543	6.431025108	5.789455189	6.616362441	6.87564748	5.739223383	6.600472581	6.62899415	7.385959813	6.218620238	6.2529175	6.083546491	7.398137993	6.117590709	6.5229726	6.433384801	6.625336105	6.704616141	6.833543807
CIC11T00000002901	 NUT1	4.263077554	4.618736433	6.431025108	3.530342347	4.455353024	4.580084744	3.1862125	4.157559315	4.36194594	4.018042751	3.130539876	2.803910411	3.316267307	3.980635591	3.405743276	3.339201831	3.388262989	3.79485288	3.31183158	3.799586408
CIC11T00000004264	 augustus_masked-chr1-processed-gene-1.43	6.049845765	6.189801929	6.323408217	5.878485396	5.021299723	5.74240942	6.465425699	6.525884631	6.26341768	7.103352196	7.617911889	7.59163071	7.668739544	7.056857781	7.400854253	7.283322486	7.331837041	5.31758967	5.513447817	5.592474981
CIC11T00000001809	 PEX14	7.165308602	7.011675314	7.347963555	6.237402118	6.633957345	6.04367145	8.165450918	8.085010971	8.145281719	6.564690845	7.076661926	6.758372995	6.844170789	6.11564169	6.730162933	6.859172402	7.061952474	6.574687282	7.312780888	6.633204586
CIC11T00000002467	 PGUG_2	6.008929722	5.789199087	5.900418851	5.755326945	5.546067708	5.971366692	5.716049309	5.709204969	5.636412668	6.820849565	6.924157925	6.85336828	7.04091913	6.732340016	6.787650886	6.744036193	6.76672041	6.006633865	6.223697057	6.332053087
CIC11T00000000192	 CDC43	3.864935958	4.115658843	4.002691573	3.386634976	3.785193895	3.834707404	3.420975351	3.813641849	3.802511538	4.876454251	4.567223414	4.468612514	4.216892579	4.464731563	4.048534253	4.530959515	4.48166676	3.670532314	3.190041328	3.658806643
CIC11T00000000901	 LYS5	5.410297826	5.012879041	5.33428448	5.201689616	5.155456879	4.770796858	6.603202953	6.551944225	6.16995074	4.219983122	4.427072875	4.564015977	4.483018334	4.198387415	4.393788926	3.943968188	4.323294861	5.180252082	5.547255334	5.350568959
CIC11T00000002053	 CDR1	11.53219702	11.58630171	11.78102562	10.54216717	11.13228544	11.11758251	13.29368035	13.69146119	13.70432734	11.58752817	10.55605027	10.5252915	10.5245316	11.42622672	10.51782781	10.48295807	10.53034027	12.35925102	12.53646352	12.46378881
CIC11T00000004133	 RPA135	10.25331154	10.41051012	9.873793881	11.33927381	11.58557211	11.80021953	10.15385892	10.58634118	10.55361572	10.73350872	9.967683876	10.12317393	10.08952044	10.81167558	10.16844006	10.19306555	10.16910371	11.01398078	10.92782872	10.95986914
CIC11T00000001677	 THG1	4.13575799	4.271677126	4.29114282	5.447430605	4.671822229	4.89811199	4.938145362	4.51522261	4.704591825	4.144870498	3.77187391	4.116321529	4.001718982	3.843563953	3.758927079	3.88204616	3.597969951	4.046233275	4.958530054	4.730336841
CIC11T00000002527	 rhp7	6.609131902	6.430098511	7.10584338	6.198697288	6.640962234	6.094174901	6.156413911	6.056049162	6.198332686	6.181331633	5.58296146	5.608194789	5.445537391	5.704154917	5.541623783	5.508511474	5.50020575	5.769140531	6.060722064	5.98510014
CIC11T00000005760	 prp39_2	6.681590564	6.905826254	7.283038287	6.699163826	7.248613078	6.975983528	6.512158298	6.670240388	6.588685724	6.260507298	5.950421129	5.70992675	5.61168365	6.11564169	5.741438504	5.756913492	5.863658308	6.86475609	6.750891509	6.792491861
CIC11T00000001089	 SNU71	6.537212971	6.800103618	7.140908284	6.549788489	6.696333506	6.47825649	6.45657041	6.499564172	6.412290524	5.886488064	5.846763692	5.855980325	5.904262983	5.698676741	5.523571889	5.653090058	5.784599415	6.19788433	6.475095059	6.36148415
CIC11T00000005455	 MSB2	12.59473332	12.54486897	11.9709401	11.49981381	12.18720294	11.88336288	11.37507388	11.63631052	11.68946346	12.41366121	12.0602008	12.06925467	12.0097907	12.30385282	11.95468656	12.09900718	12.05354731	11.95388803	11.97617783	11.98219755
CIC11T00000000248	 augustus_masked-chr1-processed-gene-1.51	3.597432136	3.844002937	3.981812103	2.755494363	3.517020104	3.472471168	2.780522443	3.253082739	3.36501662	3.653308533	3.346289023	3.720672119	3.160289718	3.467699572	3.22331327	2.734612885	3.452584447	2.865145482	2.979868772	3.177849333
CIC11T00000002530	 snap_masked-chr1-processed-gene-1.95	10.60217686	10.1826066	10.58514963	9.597729902	8.747737564	9.966805523	10.1421621	10.43748019	10.55441252	10.76741259	10.9113322	10.94698368	10.73586013	10.42361378	10.7269995	10.74311656	10.79313908	10.37328088	9.971561814	10.94275003
CIC11T00000002345	 MRPL31	6.950477277	6.738369836	7.098771342	7.865455421	7.807758741	7.602410334	6.218549999	6.275809297	5.928119441	6.277415068	6.193675875	6.217511535	5.782571419	6.503851232	6.139477112	6.239169141	5.863658308	7.428084453	7.81823995	7.531197311
CIC11T00000000347	 SPC24	2.689699676	2.903799454	3.497023664	2.525865345	2.770801027	2.852772203	2.167165716	2.493273541	2.407186568	2.96796778	2.456282492	2.821744116	2.643387879	3.235414297	2.173367078	2.102079412	2.584516442	2.272788889	1.812915259	2.281792063
CIC11T00000001554	 CMC1	5.34695322	5.160826745	5.36135143	5.242951511	5.317966262	4.743111142	4.357588438	4.291721183	4.303064383	5.021194379	5.166722542	5.328811342	5.285803936	5.008719036	5.105850594	4.84671093	4.790634993	4.810026287	5.842350213	5.392307186
CIC11T00000000482	 augustus_masked-chr1-processed-gene-1.70	3.11034068	2.963124596	3.322373127	1.95422122	1.967331224	1.540176846	2.800075685	2.427690754	2.438808954	3.169223914	3.505909243	3.624249529	3.346609119	3.106691608	3.069875344	2.906824415	2.719522535	1.491313584	2.426798498	1.853452186
CIC11T00000001499	 augustus_masked-chr1-processed-gene-1.54	5.499015222	5.616424047	4.55574633	4.176682093	4.372148792	4.259191932	5.641390753	5.891707668	6.056665439	5.913584835	6.095248926	5.929547889	6.332111174	6.217527245	6.369182818	6.391603969	6.22821127	5.053958219	5.113288915	4.977929709
CIC11T00000002558	 sdh3	10.36318096	10.04152271	10.12677367	10.25322815	10.20533326	9.896665724	10.57690388	10.19696591	10.39407656	9.916072424	10.80404403	10.78259745	10.43277876	9.779425579	10.58741003	10.61746241	10.66868532	10.40754396	10.83174323	10.61044559
CIC11T00000003805	 PIB2	8.314290924	8.361629562	7.276451071	8.135939191	8.407063086	8.594488561	8.432186774	8.847218577	8.809124033	8.78327836	8.571214697	8.484570098	8.4672944	8.636018817	8.482518193	8.448751059	8.477512819	8.584370723	8.388043718	8.689347611
CIC11T00000003541	 STT3	10.91161426	10.95409069	10.06784531	10.48890765	10.89999253	10.57790328	9.936948813	9.999501592	9.991108655	9.936750573	9.934901168	9.945598882	10.06115411	9.983050846	10.10654586	10.16289674	10.18018647	10.55675086	10.74945832	10.40209195
CIC11T00000005851	 YGL010w	6.356702619	6.299908241	7.102309844	3.668042918	3.77598578	3.303254174	8.408515445	8.315450558	8.399847405	7.37058768	7.593204197	7.560227446	7.363487614	6.895355574	7.167335203	7.604059038	7.182891421	4.389948995	4.864948989	4.467838118
CIC11T00000000990	 IME4	2.065471858	1.840847468	1.762901056	1.461336708	0.995304651	1.979248268	0.767337943	0.854323303	1.27124575	2.646717819	2.420428797	1.878533919	2.330316995	2.972857513	2.397777485	2.102079412	2.414729378	2.116830236	1.098807073	1.949325443
CIC11T00000000312	 SLA1	10.39834355	10.43691541	9.880500968	9.308193992	10.1031808	9.959347686	9.9827325	10.3695201	10.46723424	10.12273301	10.067309	10.0523057	10.25205699	10.16530344	10.25984521	10.55989401	10.39466209	10.12969255	9.942367357	10.14189735
CIC11T00000003044	 YPL113c	8.183891575	7.988327152	7.941560458	8.973351861	8.844059082	8.485095971	8.174290982	7.838949584	7.933476516	7.637414716	7.534548646	7.542603093	7.378566436	7.377949442	7.191699711	7.5017647	7.451211035	8.379471876	8.863529111	8.679490641
CIC11T00000002426	 COX4	11.57424543	11.36901203	11.67871334	11.96415977	11.85562286	11.38906021	11.37706044	10.71983808	10.94338692	10.57589263	11.51206327	11.52508263	11.44014642	10.5742921	11.52618508	11.53792832	11.4769367	11.7805297	12.08180562	11.72478006
CIC11T00000005582	 RPS26A	13.25945151	13.21554089	13.35011986	14.28319703	13.95295399	13.63230173	13.35186448	12.90064283	12.90986005	12.42826939	13.32456948	13.3337876	13.32635918	12.57671804	13.30074203	13.32469438	13.35779451	13.52170487	13.75494101	13.45509116
CIC11T00000004925	 CDC55	10.21713837	10.26576324	9.399853672	9.28903047	9.561983024	9.173022011	10.438546	10.41529667	10.48937541	9.771788173	9.894718426	10.03463318	9.774849516	9.622120888	9.77953068	9.990324584	10.05549373	9.680517583	9.978182536	9.693529173
CIC11T00000005143	 COX13	11.5086791	11.36335869	11.5052164	11.37943889	11.4262266	10.89605693	10.93284733	10.65173991	10.87773953	10.78771916	11.74236037	11.77828501	11.72378983	10.69740199	11.64705399	11.81443509	11.80966055	11.54467609	11.82610313	11.55941839
CIC11T00000003778	 MNN4_3	5.970612929	6.251207274	6.041768634	6.654421732	5.401490705	6.934503484	7.33117643	7.194036987	7.265764712	6.765449344	6.106363028	6.477665101	6.442823063	6.633248697	6.182727165	6.391603969	6.564349156	6.402082926	5.127855208	6.011139131
CIC11T00000001370	 ATE1	4.954008006	5.017334922	5.619038794	4.252606735	4.133573978	4.529501938	5.511070064	5.32747516	5.268249672	4.859944839	4.964913714	5.07388341	5.046692044	5.187085958	5.157550962	4.704884139	4.941127855	4.440248676	4.880743818	4.902996092
CIC11T00000003615	 TFG2	8.178566762	8.329599472	7.873049889	8.299872795	8.324930763	7.937415159	8.601848885	8.564151847	8.320423535	8.09686433	8.719163986	8.672884588	8.590422742	8.105513753	8.585942377	8.431374603	8.589800342	7.859510649	8.197337435	7.795409929
CIC11T00000000291	 RPL38	1.183818865	1.119354498	0.962443417	0.927505408	1.207681333	1.224203858	1.789556986	2.493273541	2.107535236	0.808303894	0.638471181	0.80360759	1.320855141	1.307802594	1.639476888	0.696045489	1.053736618	1.327000531	1.098807073	1.696550378
CIC11T00000000750	 PRP18	2.624982743	2.971514145	3.191770514	3.079186876	3.214188353	2.795549349	4.393779896	5.020893658	4.425486965	2.591828262	3.226052371	3.143611876	3.254743934	2.344329362	2.674509337	2.906824415	3.494781412	2.408226237	2.854973404	2.837861851
CIC11T00000004824	 PEX30	9.510761994	9.448243066	9.625849283	8.219411785	8.582714526	8.08452774	9.685932156	9.669459393	9.649900759	9.066849659	9.331319577	9.461044562	9.169474659	8.830371418	9.206823355	9.02066333	9.223725584	8.62942094	8.992964626	8.517803753
CIC11T00000001495	 SMC2	7.464582282	7.688248127	8.070424759	6.786398063	7.400906232	7.441616504	6.886392845	7.301569837	7.414866197	7.633464074	6.700633274	6.729179275	7.049510479	7.503542446	6.843886121	6.936803689	6.74577636	7.66235848	7.220325267	7.447630708
CIC11T00000005723	 ANP1	8.752811472	8.884749141	7.137423738	8.33084381	9.13785334	8.677923252	8.085822524	8.511319228	8.470287522	8.28948345	8.526371735	8.465733193	8.376204643	8.446587785	8.414523408	8.255836768	8.4225595	8.345263491	8.393489236	8.342846809
CIC11T00000003594	 RGA1	9.796778251	9.855258197	8.727937346	9.426500587	9.718342933	9.898944058	9.524812767	9.934289425	9.880201078	10.18151405	9.957914804	9.905491369	9.791656305	10.03220347	9.919218299	9.829888251	9.886650908	9.608511976	9.652111209	9.721216312
CIC11T00000000414	 augustus_masked-chr1-processed-gene-1.81	8.306755401	7.892506968	8.212475745	8.958215369	8.309181518	8.943307807	7.914441586	7.673434807	7.887396083	8.07568272	7.39939319	7.463496906	7.166812573	8.287540576	7.333082797	7.022725123	7.218063714	9.637998895	8.6179235	9.52524394
CIC11T00000002943	 PPR1	7.215767675	7.316429164	7.553735302	7.356781797	6.953585837	8.030746046	6.881374872	7.35258423	7.16834554	8.146590778	7.712303172	7.605457429	7.601110357	7.922658459	7.666548081	7.718149236	7.805236525	7.2171879	6.646290148	7.166499562
CIC11T00000002067	 ask1	5.711324084	5.747851224	5.894835457	4.345050252	5.295287418	4.390555127	5.152554534	5.14730678	5.437645619	4.365125155	4.420553732	4.656645329	4.628592443	4.381213819	4.705355404	4.581629451	4.77658639	4.726436953	4.53699453	4.430306754
CIC11T00000005575	 MDM35	4.48763505	4.431197124	4.650636146	5.350260656	4.964665165	5.034890615	3.429061281	3.227175119	3.160658156	4.72462837	4.812991591	4.900553005	4.901081882	4.656677238	5.126637267	4.728970822	4.719755364	4.538530096	5.288177022	4.972637445
CIC11T00000003095	 YJR107w	4.503462355	4.572876094	3.765258383	5.18084306	5.155456879	5.705245131	4.381761564	4.794306692	4.756556059	5.693262095	4.812991591	4.824550331	5.116971213	5.603897559	4.94524452	4.75287499	4.403462307	5.077316661	4.901679143	4.908409325
CIC11T00000004670	 ARH1	4.188455289	4.457913246	4.095011516	4.470138505	4.58699152	5.12395557	4.124885522	4.474121239	4.630378614	4.666482772	3.471097122	3.734217397	4.099132611	4.493453973	3.661836345	3.786887993	3.962823287	4.524674003	3.861445628	4.154476711
CIC11T00000004000	 HEM1	10.70451019	10.62807292	10.18926838	11.33775289	11.21786704	11.61635754	10.65992476	10.90391227	10.8442162	11.08003798	10.85633173	10.79309388	10.80695208	11.04661711	10.85310194	10.81026091	10.91735443	11.38867797	11.22951383	11.48255298
CIC11T00000003133	 SPC98	4.652538096	4.894693619	4.394107167	5.242951511	4.926319562	6.436746345	4.41768175	4.646654634	4.797518142	5.64705585	4.875787655	4.900553005	5.168627965	5.6821785	4.867316661	4.960158696	4.88724403	4.46156541	3.982037412	4.529425459
CIC11T00000005660	 CRC1	9.360693432	9.227267757	9.496844922	9.983080175	9.070806385	10.43920133	8.849786978	9.164400204	9.243747834	9.170647075	8.68250984	8.664289264	8.255421908	8.768643773	8.151878091	8.10599257	8.092899579	9.009131762	9.465174821	9.304563556
CIC11T00000005101	 augustus_masked-chr1-processed-gene-2.130	4.571153516	4.436558268	4.709579048	6.562567531	4.951936332	6.46739587	5.892667682	5.543429149	5.470380592	6.167321562	6.229240396	6.305165476	6.700815997	6.228865728	6.253306024	5.937842549	5.754368945	6.815508164	5.792687825	6.844381301
CIC11T00000001420	 VMA4	11.51924252	11.40782352	11.63185505	11.60864433	11.54349111	11.19100567	11.5019244	11.35742268	11.33287271	11.17860437	11.16969629	11.13787892	11.08315692	11.13013451	11.11061873	11.13268493	11.07358948	11.6200851	11.80933103	11.510928
CIC11T00000000402	 MRS2	4.775665119	4.673905242	4.054306614	6.341048079	5.633520081	6.493386617	4.597088517	4.629815847	4.741056521	6.330812727	6.20439458	6.345107977	6.180956452	6.524178562	6.146733558	5.857051363	5.844101889	5.402254439	5.088854594	5.30348835
CIC11T00000000751	 RPA43	8.183891575	7.99121358	7.704961739	8.813356144	9.261009693	8.905908272	8.230916483	8.43746132	8.472761129	8.149761694	8.452317165	8.463366914	8.867920226	8.298315697	8.669273736	8.588318224	8.653169505	8.411558865	8.971447714	8.680725318
CIC11T00000002830	 GIP4	5.889038709	6.09958765	5.33428448	4.590506744	5.781592082	5.992219786	4.876966848	5.906392285	5.804204362	6.103364689	5.099183482	4.746649911	5.082035355	5.897151805	5.116261821	5.317018383	5.682547435	5.727522307	5.079025361	5.893912944
CIC11T00000003075	 MTW1	5.326874823	5.3018306	5.649689012	4.470138505	4.794956523	4.473782565	4.958271475	5.040687903	5.281297322	5.668151718	5.222708199	5.1612925	5.219410787	5.603897559	5.248424725	4.937800159	5.293758131	5.042211314	4.963646635	5.117456738
CIC11T00000002090	 augustus_masked-chr1-processed-gene-2.108	8.472642071	8.429058064	8.813457453	9.025444635	8.905835186	8.240724118	8.392589589	8.308468164	8.504660838	8.019338305	7.609704165	7.680112702	7.371038582	8.11189569	7.581186632	7.302285137	7.688149854	8.562221826	9.337955298	9.000127159
CIC11T00000001690	 augustus_masked-chr1-processed-gene-2.133	8.23125314	8.133805005	6.565118941	7.325483597	7.071636199	7.595455432	7.34374603	7.429216539	7.992506841	8.674274142	9.216521346	9.294060072	9.080935054	8.442933213	8.934783056	9.110465768	9.117468762	7.610972898	7.543588633	7.991111781
CIC11T00000003984	 YOR338w	7.422679266	7.527059634	5.637468362	7.013855534	5.260940213	7.534800585	8.903709277	9.300085563	7.885790752	10.13762498	10.24428815	10.31830516	11.19933021	11.11073402	11.21325273	10.97244337	10.81839187	7.346379053	4.023547463	6.05156547
CIC11T00000003436	 SMM1	5.294462601	5.663296251	5.67397428	6.60471988	6.257568011	6.510572476	5.982248629	5.798135065	5.582125994	5.701583144	6.113747314	6.045866713	6.517654253	6.167063753	6.555874679	6.497216811	6.417541027	5.841642212	6.183862924	5.858930601
CIC11T00000005423	 TIM23	9.749903193	9.508030076	9.283169331	10.17529189	10.25412756	9.971613888	9.509588814	9.38606237	9.560393439	9.467424771	9.822785585	9.835336176	9.813033057	9.597179843	9.882958034	9.880430765	9.755345723	9.981316295	10.43306502	10.06423415
CIC11T00000005598	 STL1_3	-0.290863531	-0.292589757	-0.102375929	0.792071502	-0.668364413	1.152036539	0.472643664	0.24363796	0.51316014	1.089392689	0.764175689	0.735079044	0.692087429	1.184399471	0.757660271	0.333257838	0.771048644	0.174225146	-0.426063496	0.193038319
CIC11T00000002678	 ACC1	12.96961554	12.98038502	13.01395691	12.84724854	13.50727854	13.32198546	12.56413605	13.06450529	12.96027138	13.25176519	12.48706684	12.4516819	12.45077239	13.19480693	12.45694784	12.51297938	12.49087984	13.07692726	13.1482608	13.03478023
CIC11T00000004075	 RRT12	0.412480063	0.447287893	0.368611167	2.138579436	0.814189552	2.909023244	0.966023206	1.014984506	0.684735589	2.558444235	1.941440894	2.08639139	2.028719746	2.5429734	1.639476888	1.70071376	1.512780634	0.818167901	0.321485226	0.449185781
CIC11T00000003262	 OPSB	10.40454252	10.32815885	10.56002986	7.489941553	6.770591163	7.733488098	8.861539124	9.418750153	9.064892281	10.26117489	9.887929513	9.800970259	9.940474762	10.41285497	10.0397903	10.04649797	10.09810361	9.195836673	8.584612298	9.056307726
CIC11T00000001498	 fkSA	4.921917329	5.160826745	5.556736558	5.82875476	5.519832242	5.806986223	4.933093202	4.70214818	5.088605507	5.604390661	5.072799369	5.0560944	5.028865113	5.370827236	5.238463112	4.84671093	5.28185256	5.464184935	5.108417824	5.345894581
CIC11T00000004919	 SPAG1	2.788882823	2.852093236	3.231488214	3.423150957	3.353358128	3.228017561	2.819513728	2.851519564	2.861152965	2.785262012	2.572996338	2.713264391	2.789295106	2.867169533	2.421765989	2.948514913	2.556830422	3.235768423	2.437942572	2.615789161
CIC11T00000005381	 YIH1	4.482341778	4.420447748	4.659123857	4.834030698	4.768006458	4.646302559	4.523078718	4.561555738	4.26720827	3.945365515	4.427072875	4.414351007	4.193683543	4.17139658	4.177147617	4.06436265	4.573049156	4.346195512	4.606502845	4.51107384
CIC11T00000001327	 augustus_masked-chr1-processed-gene-2.138	3.425781656	3.418085664	3.616353256	4.280621164	3.98143182	4.273034014	2.660695183	2.909196959	2.690950524	3.462963601	3.608191606	3.19172951	3.465280616	3.365172077	3.352054403	3.943968188	3.322671447	3.615769076	3.904522238	3.814859604
CIC11T00000003142	 PWP2	7.615155688	7.709485675	7.574262371	10.05692583	9.800441111	10.21540194	8.514304049	8.467570188	8.499784038	8.931148578	8.868928656	9.017515676	8.852363684	9.121432117	9.062900875	8.818311525	8.67798987	9.281864626	8.76329596	8.958544548
CIC11T00000004649	 gsy-1	13.05067764	13.06819341	12.12675371	11.15132712	11.85187568	11.44613203	12.57854093	12.8251914	12.73597216	12.3503794	12.08536841	12.13742102	11.974656	12.22732509	12.03529916	12.18623904	12.17111308	12.8628523	12.79097663	12.79023376
CIC11T00000004668	 lsm-4	5.93501573	6.062647253	6.507847885	6.970681697	6.737101287	6.066513532	5.649342397	4.904524597	4.994608314	4.747590372	5.591864289	5.717055936	5.582178753	4.980862372	5.595110545	5.133368788	5.533235485	6.398440228	6.586629572	6.34517376
CIC11T00000000766	 YBL086c	6.744880922	6.979067814	7.611926558	6.695128023	6.077834	7.115197849	6.291897841	6.522973104	6.829083078	8.381289064	7.780241603	7.960200211	7.903456976	8.024194317	7.556230895	7.561961307	7.619976094	6.966366851	5.993420748	6.784202429
CIC11T00000002961	 augustus_masked-chr1-processed-gene-2.117	7.473597205	7.289509284	5.971998439	5.124533855	5.852812074	5.626467954	6.313828215	6.764874741	6.799289467	7.752994113	7.851856545	7.835299884	7.974800702	7.655465888	7.847189645	7.788708287	7.796079784	5.805625445	6.039646818	5.83536302
CIC11T00000000539	 YHR122w	6.823044306	6.590040688	6.830077351	6.646203551	6.941162101	6.237916124	7.273808406	7.379782453	7.107133698	6.812615036	6.94574481	7.042079325	6.569831845	6.574319431	6.776255114	6.708470584	6.638442056	6.714097522	7.086740345	6.618496448
CIC11T00000000629	 augustus_masked-chr1-processed-gene-2.118	5.791318339	5.987237215	6.849678424	5.383010028	5.683740867	5.676321992	5.477548473	5.820879533	5.84017336	5.139301641	5.056858002	4.626067357	4.992895626	5.395296992	5.05325048	4.84671093	5.35257724	5.713512279	5.678642206	5.734976554
CIC11T00000002097	 FPR1	11.25867325	11.12649154	11.38650557	11.82482649	11.60839423	11.15922538	11.36210173	10.7303488	10.83589185	10.20686034	10.63346411	10.70919267	10.5152806	10.26151102	10.55073832	10.54146856	10.54803033	11.20746915	11.66500993	11.17333278
CIC11T00000000903	 augustus_masked-chr1-processed-gene-2.119	7.658886626	7.561902224	8.053813128	6.596343527	7.201319367	6.809688	7.981009842	8.530339072	8.589414104	7.437944732	7.388160677	7.549668257	7.545603615	7.426693503	7.191699711	7.15640939	7.634748994	6.858651476	7.154422641	7.0569878
CIC11T00000003876	 TOM70	11.64720253	11.6452271	11.4767913	11.91261288	11.91259501	11.6776819	11.34117917	11.27303889	11.28350263	11.06472229	11.28145851	11.27987728	11.48481153	11.16308948	11.48565937	11.60446508	11.53101892	11.73249984	11.76591348	11.65490343
CIC11T00000005505	 PTEN	-0.120129798	0.125229624	-0.142438254	2.066129016	0.670833918	2.405156887	-0.157577913	-0.204773754	-0.259108949	2.502028482	1.663759439	1.731839637	2.247034843	2.367886737	1.577540946	1.378391178	1.512780634	0.705375473	0.276272649	0.312604032
CIC11T00000000149	 augustus_masked-chr1-processed-gene-2.142	5.791318339	5.463378066	4.973441224	6.261312828	6.46370771	6.126507835	5.33061855	5.336426269	5.250763155	6.106957605	6.721239521	6.709532457	6.46442085	5.782419052	6.175566632	6.196044988	6.312184325	5.759944928	6.074682589	5.897772883
CIC11T00000004119	 CPT1	9.266848834	9.181833309	9.053297471	8.997334579	9.741576837	9.215649827	7.882934975	8.189220461	8.156728857	8.608588087	7.999305004	7.963164404	7.963061309	8.618410206	8.132343231	7.79641986	7.934144676	9.210981026	9.654278479	9.328798197
